# Cumulative terminology ledger — maintained by the book-student-review skill's
# consistency auditor; rows are appended only after Jared adjudicates them.
# One row per concept. "allowed_variants" and "near_misses" are comma-separated;
# near_misses are terms seen in the wild for this concept that are NOT allowed.
# Rows that harden into bright-line rules can graduate to style_terms.tsv.
concept	canonical_term	symbol	allowed_variants	near_misses	first_defined_in
alternative hypothesis	alternative hypothesis		alternative	research hypothesis	inference_02_hypothesis-tests.qmd
test statistic	test statistic	T (random), t (observed)	t-statistic,z-statistic	t statistic (unhyphenated)	inference_02_hypothesis-tests.qmd
p-value	p-value		measure of the strength of evidence against the null	P-value,p value,probability the null is true,probability the result is due to chance	inference_02_hypothesis-tests.qmd
significance level	significance level	alpha	the 5% level	level of confidence (that is 1 - alpha),confidence level	inference_02_hypothesis-tests.qmd
test decision	reject / fail to reject		don't reject,not rejected (figure labels only),act as if the null is false	accept the null,conclude the null is true	inference_02_hypothesis-tests.qmd
false positive	false positive		rejecting the null when it is actually true,Type I error (after formal introduction)		inference_02_hypothesis-tests.qmd
least squares coefficients	least-squares coefficients	beta-hat_0, beta-hat_1	least-squares estimates	b_0, b_1 (the candidate values, not the minimizers),least squares (unhyphenated modifier)	regression_01_intro.qmd
simple linear regression	simple regression		regression with one predictor	bivariate regression,univariate regression	regression_01_intro.qmd
multiple regression	multiple regression		regression with multiple variables	multivariate regression	regression_01_intro.qmd
slope (of a fitted line)	slope	b (twovar_02), beta-hat_1 (regression on)	rise over run,difference in predicted outcome per one-unit difference in the predictor	effect (causal reading),correlation (conflation)	twovar_02_quantitative-quantitative.qmd
intercept (of a fitted line)	intercept	beta-hat_0	predicted outcome when every predictor equals zero	constant,baseline	twovar_02_quantitative-quantitative.qmd
prediction (new observation)	prediction	y-hat at a new x	predicted price/eval (in context),best guess (informal)	fitted value (reserved for observed units),forecast	regression_01_intro.qmd
residual standard error	residual standard error	RSE, s_e	residual standard deviation (software label, attributed),sigma (software label, attributed)	standard error (unqualified, when the RSE is meant)	regression_02_prediction.qmd
R-squared	R²	R^2	multiple R² (beside tables),adjusted R² (beside tables),proportion of variance explained (attributed to other books)	coefficient of determination	regression_02_prediction.qmd
adjusted R-squared	adjusted R²	R^2 (adjusted)	1 − (RSE/s_y)² (the defining identity)		regression_02_prediction.qmd
sample standard deviation	standard deviation	s, s_y, s_e	spread (informal)	SD(·) applied to a data column	singlevar_03_location-and-spread.qmd
sample variance	variance	s², s_y², s_e²		Var(·) applied to a data column	singlevar_03_location-and-spread.qmd
null model	null model		intercept-only model (parenthetical)	baseline model	regression_02_prediction.qmd
convenience sample	convenience sample				inference_03_limits.qmd
